batch_size,layer_size,learning_rate
32,32,0.001
32,32,0.0005
32,32,0.0003
32,32,0.0001
32,64,0.001
32,64,0.0005
32,64,0.0003
32,64,0.0001
32,128,0.001
32,128,0.0005
32,128,0.0003
32,128,0.0001
32,256,0.001
32,256,0.0005
32,256,0.0003
32,256,0.0001
64,32,0.001
64,32,0.0005
64,32,0.0003
64,32,0.0001
64,64,0.001
64,64,0.0005
64,64,0.0003
64,64,0.0001
64,128,0.001
64,128,0.0005
64,128,0.0003
64,128,0.0001
64,256,0.001
64,256,0.0005
64,256,0.0003
64,256,0.0001
128,32,0.001
128,32,0.0005
128,32,0.0003
128,32,0.0001
128,64,0.001
128,64,0.0005
128,64,0.0003
128,64,0.0001
128,128,0.001
128,128,0.0005
128,128,0.0003
128,128,0.0001
128,256,0.001
128,256,0.0005
128,256,0.0003
128,256,0.0001
256,32,0.001
256,32,0.0005
256,32,0.0003
256,32,0.0001
256,64,0.001
256,64,0.0005
256,64,0.0003
256,64,0.0001
256,128,0.001
256,128,0.0005
256,128,0.0003
256,128,0.0001
256,256,0.001
256,256,0.0005
256,256,0.0003
256,256,0.0001
